time;throughput;snd_responsetime;rcv_responsetime
266;2038.0;20.2885699854;11.4989454317
267;2050.0;20.5853059294;11.5722594108
268;1713.0;23.6327074111;14.3087636989
269;1657.0;24.9495322595;14.6279569637
270;1676.0;24.4329161646;14.5973718038
271;1719.0;23.8500444983;13.9225766722
272;1734.0;23.7054766878;14.0943193762
273;1677.0;23.1737799245;14.32947383
274;1681.0;24.7038962487;14.9141050544
275;1722.0;24.1626683693;13.9550459739
276;1731.0;24.1510036086;13.7678858636
277;1692.0;24.504681986;14.1419335693
278;1647.0;24.0622840656;15.1771679226
279;1580.0;24.7612297235;14.4205643821
280;193.0;216.933182508;88.2164561923
281;254.0;164.014770989;88.4612571212
282;2.0;8859.18888;7828.385148
283;2.0;8837.686456;7828.442003
284;2.0;8836.831079;7828.884792
285;2.0;8838.411145;7828.708135
286;2.0;8837.564356;7827.426521
287;2.0;8839.403955;7828.14808
288;2.0;8838.412525;7829.761706
289;3.0;8838.504612;7829.9475625
290;434.0;477.348176071;231.329047863
291;1810.0;25.7813074643;12.6857566007
292;1780.0;24.4452845201;13.0345490802
293;1651.0;25.2739652755;13.6519625302
294;1761.0;25.8799311412;13.1951972856
295;1681.0;23.1753240684;14.8078349595
296;1778.0;23.5037746023;13.3683208785
297;1725.0;23.7738185865;13.2409664133
298;1596.0;27.6171564973;14.4041032831
299;1750.0;23.6106374974;14.1281285612
300;1688.0;24.7652801789;14.1266029463
301;1699.0;24.8642614938;13.2306831578
302;1721.0;23.985543669;14.5727050403
303;1774.0;24.3976842836;12.8954754117
304;1648.0;25.2393061612;14.532482667
305;1779.0;22.598045301;13.3333585457
306;1644.0;26.4277034171;14.2219874438
307;1089.0;38.1982368274;22.026889058
308;2058.0;20.5297049746;11.5635389807
309;2127.0;19.7379889916;11.0874187126
310;1916.0;22.1243317975;12.2309147174
311;1724.0;24.9537930643;13.2673537372
312;1761.0;24.6464632423;13.4811055319
313;1782.0;23.6472367508;13.3309967027
314;1740.0;24.404828689;13.7098515665
315;1756.0;23.9172929281;13.2690384224
316;1692.0;23.3633084419;14.9357787571
317;1795.0;23.4807077103;12.9371625676
318;1692.0;24.8541057778;13.9155253849
319;1735.0;24.3376369245;13.6694425009
320;1685.0;24.1395028571;13.7388276544
321;1657.0;24.7756443914;15.2539454855
322;736.0;28.7684479028;35.7919668671
323;213.0;194.517155143;122.544329825
324;56.0;516.1768912;182.071350028
325;2.0;3657.475988;1.561436
326;2.0;9263.960219;9260.118277
327;2.0;9262.316479;9255.694106
328;2.0;9261.764966;9256.242195
329;2.0;9262.624393;9260.208792
330;2.0;9264.996455;9250.396744
331;2.0;9264.129282;9259.486
332;2.0;9267.246441;9262.018984
333;297.0;241.133465459;654.074845136
334;1653.0;25.836904223;14.3313801787
335;1532.0;28.4464358755;14.7169684133
336;1605.0;26.1982070091;14.8730494324
337;1584.0;26.6551559374;15.02343179
338;1683.0;24.390252133;14.5829320366
339;1593.0;25.3115675654;15.1398494448
340;1546.0;25.4324239463;16.23945104
341;1620.0;24.7048585633;15.1508046065
342;1640.0;24.8488106137;14.803216779
343;1527.0;26.1874869594;14.3444151931
344;1646.0;26.25257562;14.7947922235
345;1830.0;23.9490982841;13.3542406593
346;1584.0;24.7093439648;15.816099181
347;1781.0;24.1033154086;13.0104689847
348;1785.0;24.184783806;12.7556378728
349;1334.0;31.5397813919;17.4047940607
350;1664.0;26.6101469137;14.0102847771
351;2080.0;20.7884552874;10.9574360123
352;1986.0;22.0274059443;11.8076050998
353;1853.0;23.1074067907;12.7126421177
354;1693.0;24.2803184071;13.1696522881
355;1770.0;26.4619311675;13.0603301543
356;1692.0;24.0172358243;14.2198438765
357;1803.0;24.5478592383;12.739901818
358;1244.0;36.7095504508;17.8795615236
359;1769.0;24.3421404686;12.979275922
360;1768.0;22.8987868364;13.3665448009
361;1715.0;25.2601272643;14.0855377868
362;1760.0;24.3167030443;13.3950590443
363;1742.0;24.2064365178;12.9996164848
364;1295.0;26.0138820047;15.351809955
365;231.0;116.252302405;134.452895548
366;91.0;280.0585949;135.348864131
367;2.0;5551.943655;5550.84211
368;2.0;5552.140849;5546.829283
369;2.0;5553.864264;5551.000167
370;2.0;5552.67584;5551.510661
371;8.0;5553.96592525;4164.20374125
372;2.0;7946.888551;2403.799002
373;2.0;7947.360116;2403.875219
374;1077.0;208.201374213;113.169290069
375;1601.0;27.2922503252;14.2769730159
376;1659.0;25.3166090812;14.4600852163
377;1639.0;24.8980464352;14.4513762918
