time;throughput;snd_responsetime;rcv_responsetime
222;1686.0;24.3653330956;14.4493795611
223;1515.0;26.5848564336;15.6296592582
224;1454.0;29.3919424549;15.8959035885
225;1532.0;26.3036063358;15.716558598
226;1502.0;26.8944586056;15.5009843102
227;1314.0;31.3847344228;17.5376488062
228;1533.0;26.8329192289;15.4365053931
229;1392.0;29.2506442575;16.652499048
230;1468.0;26.9617565706;16.2966344995
231;1458.0;28.0370384297;16.1269276205
232;1448.0;27.9212436837;16.5778809521
233;1423.0;26.2728877861;17.0097904181
234;1544.0;26.1285877801;16.149437713
235;1518.0;27.1123640899;14.9921787073
236;1549.0;27.4920982849;14.8803018312
237;1239.0;28.4281232767;22.5276427388
238;1643.0;24.8864249076;14.6848790752
239;1655.0;25.0816842014;14.2723458483
240;1582.0;26.7103683576;14.6198163758
241;1409.0;32.4643184307;16.4680194277
242;2022.0;21.3659613914;11.5743474639
243;1940.0;22.0919526815;11.9436420093
244;1788.0;23.4275749155;13.2884923737
245;1773.0;24.5094633446;13.5175099356
246;1727.0;24.284056808;13.7995677267
247;1774.0;24.2217102148;13.1489157292
248;1695.0;24.8281320708;13.8328286159
249;1675.0;24.7500758918;14.4429740333
250;1736.0;23.3997266334;14.2131602926
251;1715.0;24.4926140366;13.6849882138
252;1643.0;26.1968527418;14.4405880979
253;1743.0;23.1230058259;14.0269349922
254;1717.0;24.054925925;14.1678482028
255;1742.0;23.5528189764;13.8068307319
256;1729.0;24.6757132067;13.8031919396
257;1799.0;22.8216838937;13.5647271721
258;1660.0;25.2169070794;13.9382871212
259;1739.0;25.5840422865;13.5379154652
260;1658.0;25.7407929553;14.1060312975
261;1683.0;25.3553459054;14.0517136607
262;1603.0;26.2639599082;14.9306696408
263;1594.0;25.1501651714;15.5757097178
264;1674.0;25.1218730357;13.7370087819
265;1677.0;25.9110799227;14.3430130223
266;1700.0;24.5929656265;13.923222307
267;1666.0;24.9659845343;14.51035275
268;1678.0;24.9953287719;14.234253778
269;1547.0;27.2798397062;15.3598579313
270;1636.0;26.0566438364;14.3848123837
271;1561.0;26.8216716252;14.8287067717
272;728.0;29.6979980694;14.4972255135
273;2.0;1626.013496;1623.574084
274;1055.0;78.7196408319;64.0967846108
275;1607.0;24.5072220501;15.9027692397
276;1456.0;28.5208872542;15.9732483176
277;1331.0;31.3726832844;18.7930825902
278;1589.0;25.3645644264;15.4689793588
279;1585.0;24.8973773852;15.147302673
280;1424.0;29.8090181237;17.7615731837
281;1673.0;25.665428833;14.0601494946
282;1705.0;24.4296039876;13.8430990727
283;1780.0;24.5734935496;13.1909088194
